name,cuisine,description,localAddress,phone,rating
Nandhana Palace Koramangala,Indian        ,,"Nandhana Palace Koramangala 7 Khb Block Koramangala Mahakavi Vemana Rd, Near Koramangala Bda Complex, 560034",+91 80 4613 1111,4.0
Masala Mandi,Indian Fast Food Barbecue Asian     ,,"2nd Floor 82/8, Doddakenelli, Vartur Hobli Sarjapur Road, 560035",+91 96063 04222,4.0
Sharief Bhai,Indian        ,,"Jyoti Nivas College Rd, 66, Ground Floor, 560034",+91 80957 52222,3.5
Guilt Free,Italian Mexican Indian European Fusion Central European   ,"Guiltfree believes in "" Its not a Diet, its called eating healthy"". from Tasty hot salads to yummy sub sandwiches, from exotic cocktails to fresh fruit juices , its all served :)","Tech Park Rd, Global village, RV Vidyaniketan,, 560059",+91 95133 34061,5.0
Citrus Cafe,Indian        ,,"1st Floor Hosur Main Road, 560100",+91 98104 62329,4.5
Deck of Brews,Italian Indian Brew Pub Barbecue Asian    ,"Deck of Brews [DOB] is a place where people can come together and celebrate their connections, no matter the time of year. Our name refers to both the open architectural design of our space and the diverse selection of brews and blends we offer.","Gear School Rd, Kaverappa Layout, Kadubeesanahalli, Next to Prestige Ivy Terrace, 560103",+91 88848 77773,5.0
BG's Poolside Bar & Grill,American Bar Barbecue Asian Pub    ,,"503 Outer Ring Road, Courtyard & Fairfield by Marriott, 560103",+91 95135 84681,4.5
Prost,Bar International Pub      ,,"80 10th Main, 560035",+91 80 2553 4989,4.0
The Beer Cafe,Italian Chinese Indian Bar Pizza Pub   ,"When it comes to having a beer, you'll never run out of excuses. At least, not at The Beer Cafe - India's largest beer chain. Here, the most important four-letter word is neither love, nor life. It's beer, usually enjoyed most by those who love life. So, the next time, #BeerMore at The Beer Cafe, India's largest, fastest growing and the most awarded beer chain.","Unit No - 4a 4b Upper Ground Floor VR Bengaluru Mall, 560066",+91 80 4652 4025,3.5
The Boozy Griffin,Bar Seafood Pub      ,,"Jnc Road 5th Block 1'st a Cross Road 105 Vikas Tech Park 2nd Floor, 560095",+91 90353 08000,4.0
By The Peepal,Indian Brew Pub Bar Pizza Seafood Asian Pub  ,,"637, 14th Cross Rd, Dollar Layout, 3rd Phase, JP Nagar, 560078",+91 99025 79792,4.5
Watson's,Bar Pub       ,,"4th Floor 5 1 Assaye Road, 5/1, 4th Floor, Skywalk Building, 560042",+91 80 3033 7000,4.0
5th Avenue Cafe,Italian American Pizza Cafe Seafood    ,The place serves a bunch of appetizing dishes which is a complete palate delight. Each dish drips with rich flavors and carries a touch of indigenous taste. The staff are friendly and the reasonable range of meals makes it the perfect place for a casual outing with friends and family. Serve the best shisha in town. Food and drink are abundantly portioned and will keep you going for hours.,"#44, 4th B Cross Road, Terrace Floor, Koramangala 5th Block, 560034",+91 99009 98427,5.0
Falak,Indian        ,,"Thanisandra Main Road, The Leela Bhartiya City Bengaluru, 560064",+91 88848 18539,5.0
Barbeque Nation,Chinese Indian Barbecue      ,,"14th Cross Neeladri Main Road, 94, Neeladri Nagar, Electronic City, 560100",+91 80 6902 8722,4.0
"Absolute Barbecues - BTM, Bengaluru",Indian Seafood Barbecue Asian     ,"A unique 'do-it-yourself' dining experience where diners grill on the Table, their choice of Meat, Seafood and Vegetables starters served on skewers to their preference. A central live grill ""Wish Grill"" dishing out exotic varieties of veggies and game birds take the experience of dining to a while new level.","100 Ft Ring Road, BTM LAYOUT 2nd Stage, 2rd Floor,CPR Tower, Near Jayadeva Flyover, st Phase,2nd Stage, BTM Layout, 560076",+91 73373 83765,4.0
Riwaz,Indian        ,"Sleek modern design, alluring city views and architectural accents true to Bangalore’s rich history unite to create a perfect environment for the culinary delights within. Originating from North West India Riwaz is known for its smoky, robust flavors, tender grilled meats and an assortment of Indian breads. Prepared in an open kitchen by expert chefs utilizing celebrated traditional methods, these amazing creations which captivate and enchant your palate while plated, contemporary desserts and sweets promise a memorable conclusion to every meal. Adjoining the main dining area, an intimate Whisky table and the wine enoteca visitors with tasting tables at which to explore these distinctive satisfactions; unforgettably innovative cocktails—each inspired by indigenous herbs, spices and fruits—complete the restaurants distinctive beverage selection. Succulent Kebabs and Indian breads Hand-crafted sweets and contemporary desserts Whisky table and the wine enoteca Creative cocktails inspired by indigenous flavors Two private dining rooms","No 99 Residency Road, 560025",+91 80 4914 8000,4.5
Shiv Sagar,Chinese Indian Fast Food Asian     ,,"Commercial Street, 560033",+91 80 2532 3767,4.0
Alibaba Cafe and Restaurant,Lebanese Mediterranean Middle Eastern Persian Arabic    ,"Inspired from the traditional kitchens of the Arab,Persian-descended Navayathi people, the authentic and delectable recipes have passed down the ages and tantalizingly await you at Alibaba. Savour wonderful dishes from a plethora of Middle Eastern cuisines like Navayathi, Arabian, Iranian, Lebanese, Mediterranean, Moroccan and Persian and wash it down with your drinks all the while swaying to intoxicating Arabic songs. Take your pick from the sumptuous meat dishes to the exotic fresh fish or the mouth-watering steam-cooked Bhatkali Biryani to the riches of vegetarian fare. What will also captivate you is the distinctive ambience inspired from the Arabian Nights. Marhaba!","MM Road, Pulikeshi Nagar, No. 145, Ground Floor, 560005",,4.5
Paris Panini - Gourmet Sandwiches and Wraps,French Cafe Fast Food European Street Food    ,"Paris Panini brings you the best of french-style sandwiches in India. Born in France, Nicolas moved to India after years of experience with French cuisine. Missing his sandwiches back home he decided to experiment, and soon after started a food truck (under the name Le Casse Croute) aiming to bring gourmet french street food to Bangalore. His vision was pretty simple, serve homemade, high-quality street food using premium ingredients from across India and Europe following traditional French recipes. After rebranding to Paris Panini in 2019, Nicolas, AB and Nikhil kept the same values and worked on a more elaborate menu to give you the most authentic experience as if you were seating in a Parisian cafe.","No 2984, 12th Main Rd, Hal 2nd Stage, Indiranagar, 560038",+91 99014 28604,4.5
Carrots Restaurant,Indian Cafe International Contemporary Fusion Healthy   ,"Carrots is the first 100% vegan restaurant in India. We have a wide variety of unique, mouthwatering dishes with a special focus on healthy and tasty treats. Do check out our menu to know more.","607, 80 Feet Road, 1st Floor, Koramangala, 6th Block, Near Sony World Signal, 560095",+91 80 4513 3586,4.5
The Konkan,Indian Seafood Asian Healthy Wine Bar    ,"The Konkan, located on St. Marks Road - Church Street area, is a casual dining restaurant serving Mangalorean cuisine. Specializing in seafood, some of the popular Mangalorean coastal dishes including Prawn Koliwada, Pomfret Masala Fry, Crab Sukka and Surmai Rava Fry will tantalize your taste buds. The Konkan also serves other specials including Chicken Ghee Roast, Chicken Uruval, Mutton Roce Curry and Pork Bafat. We are a 5 minute walk from the MG Road Metro Station.","St. Marks Road, Church Street, 48/1, Ist Floor, 560001",+91 99725 47475,4.5
1947,Chinese Indian Asian      ,,"4/4-1, 1st Main Industrial Town, West Of Chord Service Road, Next To Premananda Convention Hall, Rajajinagar, 560086",+91 80 4132 1947,4.0
Carnival De Goa,Indian Seafood       ,"Carnival de Goa is an authentic Goan restaurant, bright, open, vibrantly- coloured and perfectly chilled out, with the wrought iron balcao (Portuguese for balcony), sunlight-yellow walls, Portuguese-inspired mosaic-tiled tables, boat shaped crockery, wait staff sporting beach-style shirts and live Goan music (mandos) on weekends adding the perfect Goan ambience. Guests can also choose to dine within the restaurant or on the terrace of this 80-cover restaurant.","Ulsoor Rd, No:8/6, 1st Floor, Kensington Point Building, Near Begum Mall",+91 76767 67620,4.0
Palette,Indian Asian Fusion      ,,"Yeshwantpur, 2275 Tumkur Road, Yeshwantpur, 560022",+91 80669 00111,4.5
Rooftop Cafe,Cafe Fast Food       ,,"16 11th Main Road, 560011",+91 80 2654 4411,4.0
Dialogues Cafe Koramangala,Italian Chinese Indian Cafe     ,"Dialogues Cafe | JP Nagar & Koramangala Cafe | Co-Working | Community A Cafe with a homely vibe that can suit anyone and everyone to do what they love to do. You can chill, work, have fun, read, meet friends or teams, host events & community sessions or simply have your me-time. We are your own space. - Co-working plans available for individuals and groups - Host Events and Workshops - Read books from our 200 plus collection - Host Get-togethers or Birthday parties - Plan Corporates Day Out - Personalisation of the food we serve and we just love to take care of you if you need something special. - MeTime | Fun""","21, 80 Feet Road, 4th Block, S.T. Bed, Cauvery Colony, Koramangala, 560095",+91 63635 56436,4.5
Deja Vu Restaurant and Bar,Italian Indian Asian      ,"Deja Vu is comfort food buffet spread, offering popular Indian and Italian Cuisines, specialising in popular starters. Known for affordable group-friendly packages, Deja Vu also has a full-fledged bar with a range of signature cocktails and imported wines, beers.","Gopalan Innovation Mall, 5th Floor, Bannerghatta Road, 560078",+91 96324 99855,4.0
WBG - Whitefield Bar and Grill,Steakhouse Bar Barbecue Grill Wine Bar    ,"Relax poolside at our al fresco restaurant, where fresh breezes and refreshing drinks complement our menu of tandoors, traditional B-B-Q and more.","Plot No 75 8th Road, Bengaluru Marriott Hotel Whitefield, 560066",+91 80 4943 5000,5.0
Tandoor,Indian        ,40 year old legacy of serving the finest Indian and Mughalai cuisine in Bangalore. The oldest and finest Indian restaurant located in the heart of the city.,"Mahatma Gandhi Road, Opposite Keb Office, 560001",+91 80 2558 4620,4.0
Oota Bangalore,Indian Asian       ,"2 chefs, 2 writers and a video crew travelled 15,000 km over 85 days in 10 culinary circuits to capture the real taste of Karnataka. We are very excited to bring to you, a fresh new experience in Oota, inspired by the culinary heritage of Karnataka. So sit back and sample our rotational menu as we take you on a gastronomical adventure through Karnataka.","Road #5b, #331, EPIP Zone, Whitefield, 560048",+91 88802 33322,4.5
Sky Lounge Bar,Indian Bar International Pub     ,,"56 D, Wipro Gate No. 5, Phase 1, Electronic City, Svenska Design Hotel",+91 80 4965 2539,4.0
The Biere Club,Bar Pub       ,,"20/2, Vittal Mallaya Road, D' Souza Layout, 560001",+91 99867 69776,4.0
Anupam's Coast II Coast,Indian Seafood       ,,"56 Church Street, Above Starbucks, 560001",+91 80 4865 5588,4.0
R Bar,Indian Bar Wine Bar      ,"R Bar is a classic bar, shaken-up and stirred with a contemporary twist. A place where the combination of hip spaces, eclectic bar rituals, and thoughtful hospitality, all driven by the desire to compel and delight, can trigger a genuinely intriguing experience.","No 17 and 17/1 Madhava Nagar Extension Race Course Lane, 560001",+91 95139 44520,5.0
The Ants Cafe,Cafe        ,,"1st Floor 2286 14th a Main 100 100 Feet Road, 560008",+91 80 4171 5639,4.0
Indian Kitchen,Indian        ,"Indian cuisine reflects a 5,000-year history of various groups and cultures interacting with the subcontinent, leading to diversity of flavors with influence that can be traced to the Mughals, British, Arabs, and Portuguese. India is a paradise for food lovers and at Indian kitchen we aim at broadening the horizon of every food lover in the country.","M.G. Road, No. 86, Oak Shot Place, 560001",+91 80 2559 8995,4.0
Three Dots and a Dash,Bar Pub       ,,"100 80'th Feet Road, Binnamangala, 1st Stage, Hosalanagar, 560038",+91 80 4163 0303,4.0
Salt Restaurant,Indian Asian       ,"SALT–Indian restaurant–Bar&Grill– is the rustic charm of a Dhaba combined with the classiness of a bistro both in terms of the food and the ambiance. Our Chef’s expertise in experimenting with the finest Indian spices & ingredients along with traditional Indian cooking techniques.Our guests rave about our signature dishes, appreciate our cordial service and enjoy our relaxed seating environment.","2nd Floor, The Forum, No.21, Hosur Road, Koramangala, Bangalore, India 560095, 560075",+91 80 3354 5152,4.0
Kitchen On Table,Japanese American Sushi Asian     ,"Located in HSR Layout in Bangalore, Kitchen on Table is a unique restaurant that brings the chef right to your table. Their expert team of chefs take in your opinions and cook for you live at your table. The restaurant also serves up dome delicious dishes of Japanese cuisine with their own twist. Guests can also opt for their buffet or barbecue dining options. Along with your food, the restaurant gives you an experience you won't forget.","1548, 19th Main Road, 3rd Floor, Sector 1, Above Biriyani Zone, 560102",+91 93430 44750,4.0
The Filter Coffee,Indian        ,,"7th Main, HRBR Layout, 80 Feet Road, Kalyan Nagar, Next To Organic Mandya , Kalyan Nagar, 560043",+91 99004 55577,4.0
Empire Restaurant,Indian Asian       ,,"Bangalore - Mysore Highway, 571429",+91 80 4041 4041,3.5
Loft 38,American Thai Grill Pub     ,Loft 38 is located on the busy Indiranagar 100 feet road. This place offers a sophisticated vibe to its diners paired up with the Multi-Cuisine dishes. The woody and rustic ambiance combined with signature drinks instantly lighten up your mood. Loft 38 has a team of talented and spirited people who create good times and great memories for the diners,"763 100 Feet Road, Near Sony World, Indiranagar, Bangalore, 560038",+91 80 4933 7555,4.0
Stories,Indian Bar Asian Contemporary Pub    ,"We create stories with our legendary guests. A garden rooftop offering delicious Continental, North Indian cuisines with fine cocktails and mocktails to blend in.","24'th Main Road, N-15, 3rd Floor, 1st Phase, JP Nagar, Above RBL Bank, Opp Cakewala, 560078",+91 80 4125 2319,4.0
Hanoi Vietnamese Cuisine,Asian Vietnamese       ,We are an authentic Vietnamese restaurant in Phoenix mall.,"607 12th Main Road, Whitefield Main Road, 560038",+91 80 4140 5599,3.5
The Rice Bowl,Chinese Asian Szechuan      ,"Asian cuisine, particularly Chinese dishes, is served in a restaurant with a cheerful, relaxed vibe. 40/2, Hotel Southern Star, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001","40/2 Lavelle Road, 560001",+91 91489 66235,4.0
Hotel Janardhan Restaurant,Indian        ,,"6-1, Highgrounds, Kumarakrupa Road, Madhava Nagar, Near Race Course Road, 560001",+91 80 2225 4444,4.0
